VueltaE,DEPARTAMENTO,PROVINCIA,DISTRITO,GREGION,votos_emitidos,n_electores_habiles,votos_nulos_blancos,PARTIDO,NVOTOS,porc_V,UBIGEO,distid,Pob_hab,Pob_rnk,IDH,IDH_rnk,EVN,EVN_rnk,pc_EDC,pc_EDC_rnk,yrs_ED,yrs_ED_rnk,IFPC,IFPC_rnk
Primera,AMAZONAS,CHACHAPOYAS,HUANCAS,Selva,309,418,78,FUERZA_POPULAR,35,15.15,10108,8,1457,1448,0.4148,806,73.06,1087,65.36,595,6.15,986,525.8,886
Primera,AMAZONAS,CHACHAPOYAS,HUANCAS,Selva,309,418,78,PERU_LIBRE,54,23.38,10108,8,1457,1448,0.4148,806,73.06,1087,65.36,595,6.15,986,525.8,886
Primera,AMAZONAS,CHACHAPOYAS,HUANCAS,Selva,309,418,78,VOTOS_OTROS,142,61.47,10108,8,1457,1448,0.4148,806,73.06,1087,65.36,595,6.15,986,525.8,886
Primera,AMAZONAS,CHACHAPOYAS,LA JALCA,Selva,2633,3919,835,FUERZA_POPULAR,107,5.95,10109,9,4279,899,0.2952,1459,73.09,1082,42.66,1461,4.64,1552,305.7,1408
Primera,AMAZONAS,CHACHAPOYAS,LA JALCA,Selva,2633,3919,835,PERU_LIBRE,564,31.37,10109,9,4279,899,0.2952,1459,73.09,1082,42.66,1461,4.64,1552,305.7,1408
Primera,AMAZONAS,CHACHAPOYAS,LA JALCA,Selva,2633,3919,835,VOTOS_OTROS,1127,62.68,10109,9,4279,899,0.2952,1459,73.09,1082,42.66,1461,4.64,1552,305.7,1408
Primera,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Selva,1578,2580,435,FUERZA_POPULAR,148,12.95,10110,10,3855,963,0.399,881,70.3,1432,39.99,1524,6.32,928,615.9,734
Primera,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Selva,1578,2580,435,PERU_LIBRE,215,18.81,10110,10,3855,963,0.399,881,70.3,1432,39.99,1524,6.32,928,615.9,734
Primera,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Selva,1578,2580,435,VOTOS_OTROS,780,68.24,10110,10,3855,963,0.399,881,70.3,1432,39.99,1524,6.32,928,615.9,734
Primera,AMAZONAS,CHACHAPOYAS,LEVANTO,Selva,625,891,132,FUERZA_POPULAR,110,22.31,10111,11,671,1715,0.3243,1299,76.45,583,39.63,1533,4.15,1696,418.1,1123
Primera,AMAZONAS,CHACHAPOYAS,LEVANTO,Selva,625,891,132,PERU_LIBRE,125,25.35,10111,11,671,1715,0.3243,1299,76.45,583,39.63,1533,4.15,1696,418.1,1123
Primera,AMAZONAS,CHACHAPOYAS,LEVANTO,Selva,625,891,132,VOTOS_OTROS,258,52.33,10111,11,671,1715,0.3243,1299,76.45,583,39.63,1533,4.15,1696,418.1,1123
Primera,AMAZONAS,CHACHAPOYAS,MAGDALENA,Selva,503,720,125,FUERZA_POPULAR,45,11.9,10112,12,687,1706,0.4738,573,71.62,1296,53.26,1090,6.38,911,848.6,415
Primera,AMAZONAS,CHACHAPOYAS,MAGDALENA,Selva,503,720,125,PERU_LIBRE,49,12.96,10112,12,687,1706,0.4738,573,71.62,1296,53.26,1090,6.38,911,848.6,415
Primera,AMAZONAS,CHACHAPOYAS,MAGDALENA,Selva,503,720,125,VOTOS_OTROS,284,75.13,10112,12,687,1706,0.4738,573,71.62,1296,53.26,1090,6.38,911,848.6,415
Primera,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Selva,445,814,106,FUERZA_POPULAR,75,22.12,10113,13,1004,1602,0.4461,683,69.3,1529,50.26,1220,6.62,836,752.3,535
Primera,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Selva,445,814,106,PERU_LIBRE,79,23.3,10113,13,1004,1602,0.4461,683,69.3,1529,50.26,1220,6.62,836,752.3,535
Primera,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Selva,445,814,106,VOTOS_OTROS,185,54.57,10113,13,1004,1602,0.4461,683,69.3,1529,50.26,1220,6.62,836,752.3,535
Primera,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Selva,1277,1889,311,FUERZA_POPULAR,135,13.98,10114,14,2443,1202,0.3809,957,70.28,1435,53.64,1070,5.32,1292,529.8,881
Primera,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Selva,1277,1889,311,PERU_LIBRE,240,24.84,10114,14,2443,1202,0.3809,957,70.28,1435,53.64,1070,5.32,1292,529.8,881
Primera,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Selva,1277,1889,311,VOTOS_OTROS,591,61.18,10114,14,2443,1202,0.3809,957,70.28,1435,53.64,1070,5.32,1292,529.8,881
Primera,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Selva,347,591,75,FUERZA_POPULAR,29,10.66,10115,15,374,1832,0.4476,679,71.26,1344,42.6,1462,7.35,626,737.7,553
Primera,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Selva,347,591,75,PERU_LIBRE,51,18.75,10115,15,374,1832,0.4476,679,71.26,1344,42.6,1462,7.35,626,737.7,553
Primera,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Selva,347,591,75,VOTOS_OTROS,192,70.59,10115,15,374,1832,0.4476,679,71.26,1344,42.6,1462,7.35,626,737.7,553
Primera,AMAZONAS,CHACHAPOYAS,OLLEROS,Selva,243,378,51,FUERZA_POPULAR,23,11.98,10116,16,352,1840,0.3647,1052,71.94,1241,53.26,1089,5.67,1162,435.9,1071
Primera,AMAZONAS,CHACHAPOYAS,OLLEROS,Selva,243,378,51,PERU_LIBRE,30,15.62,10116,16,352,1840,0.3647,1052,71.94,1241,53.26,1089,5.67,1162,435.9,1071
Primera,AMAZONAS,CHACHAPOYAS,OLLEROS,Selva,243,378,51,VOTOS_OTROS,139,72.4,10116,16,352,1840,0.3647,1052,71.94,1241,53.26,1089,5.67,1162,435.9,1071
Primera,AMAZONAS,CHACHAPOYAS,QUINJALCA,Selva,358,780,133,FUERZA_POPULAR,9,4,10117,17,640,1722,0.342,1180,73.32,1058,52.07,1149,3.73,1776,495,947
